CASRN,LD50_xgboost_rdkit2d
33213-82-0,0.16045262
33210-47-8,0.08155237
55634-91-8,0.108690456
994-05-8,1.4551115
26225-79-6,0.6392947
2370-13-0,1.341554
33236-02-1,0.12296658
33236-09-8,-0.04322626
33210-42-3,0.09018902
33236-10-1,0.0432397
33236-06-5,-0.34414062
7287-36-7,0.7912437
532-34-3,0.8409283
92448-79-8,0.22325066
16587-71-6,1.262119
59897-92-6,0.6747717
80-46-6,0.94687784
68505-69-1,0.50752896
1113-10-6,0.7222885
60559-98-0,0.2333986
63956-90-1,0.19235551
52963-60-7,0.30792865
52963-61-8,0.1649465
21725-46-2,0.2890814
1192-22-9,1.4621087
1245-44-9,0.6885095
36576-44-0,0.7514431
57-85-2,0.76944315
121652-76-4,-0.7097896
13764-49-3,-0.55188787
59122-46-2,0.08561095
57-53-4,0.8135734
24089-00-7,0.94135684
71548-68-0,0.624669
10415-87-9,1.1198393
918-85-4,0.89543927
4475-95-0,0.48843354
33765-68-3,0.9491021
15336-82-0,0.5491018
1565-75-9,1.075124
77-83-8,1.0401632
21715-46-8,0.27718347
30043-49-3,0.33042857
110-68-9,0.42439687
106358-91-2,-1.0906461
54266-79-4,-0.8306608
54266-78-3,-0.9070545
150824-47-8,0.17848808
29973-13-5,-0.19152257
53380-22-6,-0.1353588
53380-23-7,0.2461476
64057-54-1,0.36626035
2185-86-6,0.12504008
112-75-4,0.5988886
1920-05-4,0.65263724
7378-99-6,0.52057105
927-62-8,0.5170947
486-17-9,0.15309459
926-63-6,0.56309396
25606-41-1,0.23807359
54965-24-1,0.35541785
3568-24-9,0.285769
598-56-1,0.67311174
64049-26-9,0.2850545
5135-83-1,0.24527915
19622-19-6,0.45417985
1118-92-9,0.9406689
20684-06-4,0.27222884
64951-32-2,0.07133442
653-03-2,0.33482376
2324-94-9,0.38310814
137-20-2,0.5458891
20686-45-7,0.30843458
5965-49-1,0.07504534
555-37-3,0.56758314
59263-76-2,-0.14326996
7068-83-9,0.3110389
67557-56-6,0.6529242
70458-95-6,0.63692933
96480-44-3,0.4553033
93503-03-8,-1.3851597
10595-95-6,-0.04461665
50-12-4,0.6714489
16055-33-7,0.4064822
88124-27-0,0.49164668
73-09-6,0.3170787
38957-41-4,0.52267545
615-53-2,-0.029051168
83519-04-4,-0.323944
63982-03-6,0.24256405
1119-97-7,0.44721773
58066-85-6,0.10134368
3001-63-6,0.47772738
41892-01-7,0.44425994
102-30-7,0.15786685
683-10-3,0.86842626
100-95-8,0.50052685
14007-49-9,0.34769413
1643-20-5,0.9448107
146764-26-3,0.38349465
149-64-4,0.63598424
30286-75-0,0.40855056
316-42-7,-0.10106762
69788-35-8,0.3552653
69788-34-7,0.004377073
16006-74-9,0.6598804
69788-42-7,0.63296235
31024-56-3,0.59723717
1067-25-0,1.3049867
23239-21-6,-0.100600764
69788-33-6,0.24777466
24536-75-2,0.5781309
117666-86-1,0.49818733
64037-00-9,-0.9844163
18318-83-7,1.2295091
14817-09-5,0.66817546
25371-54-4,1.0174388
126-22-7,0.12127478
73321-74-1,-0.02318124
117666-84-9,0.565533
51356-12-8,-1.4291294
2088-72-4,-0.74335915
5840-95-9,-0.7436895
2597-03-7,-0.33249897
919-86-8,-1.0363836
867-27-6,-0.258502
640-15-3,-0.56275
6389-81-7,-0.76774913
301-12-2,-0.82098466
2703-37-9,-1.013641
25476-48-6,-0.24766855
90220-20-5,-1.272754
90220-19-2,-0.97180694
54473-51-7,-0.24120001
54473-33-5,-0.31752488
30560-26-0,-0.4485946
73937-08-3,0.107157156
52868-53-8,-0.7136257
84044-17-7,-0.9492475
33267-37-7,-0.8293054
111-10-4,1.0423859
64058-23-7,-0.025744826
111-80-8,0.7768247
104-45-0,1.10522
2785-87-7,1.1220659
54965-21-8,-0.11916901
61738-04-3,0.32320407
19133-14-3,-0.88813716
1476-98-8,0.032796234
5934-55-4,-0.54175395
33210-62-7,0.46374348
554-12-1,1.5303558
1087-06-5,0.71750534
84964-12-5,-0.109547436
85405-59-0,-0.013713068
21608-06-0,0.9303845
68677-06-5,0.27432695
117666-83-8,0.54375035
94-30-4,1.1998641
90982-32-4,0.59710777
54473-56-2,-0.33225945
71675-87-1,0.85612446
57966-95-7,0.62556505
145071-30-3,0.06834162
2591-57-3,-1.5660119
2633-54-7,-0.27392635
13104-29-5,-1.0336784
13289-13-9,0.1157949
15536-01-3,-0.8871234
33232-87-0,-0.20006545
2720-19-6,-0.7403657
7076-53-1,-0.54220307
13508-53-7,0.51808536
1825-58-7,0.6846795
3239-63-2,-0.5238788
63869-33-0,-0.41999254
63815-53-2,0.23555951
58995-43-0,-0.20992322
66104-23-2,0.17248401
10265-93-7,0.46254298
661-19-8,1.5339983
38916-42-6,1.0731254
112-92-5,1.4612203
9005-00-9,1.23492
3397-16-8,1.0615699
95-19-2,0.5489902
1338-41-6,0.88721466
112-76-5,0.8562569
54460-46-7,1.5121744
38079-66-2,0.88094765
112-72-1,1.7088208
40036-79-1,0.4469054
66232-28-8,0.09036256
6873-46-7,0.62400204
112-70-9,1.6572421
930-09-6,0.84681576
10520-81-7,0.63595617
124-22-1,0.55077064
2439-10-3,0.5476867
2422-90-4,-0.06718615
2372-82-9,0.4704301
14960-06-6,0.84200215
93-23-2,0.13857593
112-53-8,1.595157
39464-66-9,1.1094508
13150-00-0,0.63585776
1847-58-1,0.9824836
2915-72-2,1.2715993
151-41-7,0.9494741
120-40-1,1.0369776
301-11-1,0.5109188
23551-91-9,1.0579482
2156-96-9,1.5180864
142-87-0,1.0234054
334-56-5,0.26657188
19780-11-1,0.94389075
112-31-2,1.5234365
104-40-5,1.1711099
11096-42-7,1.0055348
9014-90-8,0.4516196
56323-90-1,0.9964462
334-48-5,1.3776116
5002-47-1,0.008591329
74050-97-8,0.17415564
143-08-8,1.3179615
7173-62-8,0.4286224
9004-98-2,1.0352372
60840-87-1,0.6711852
95-38-5,0.56421745
18787-40-1,0.3588315
52709-84-9,0.6546471
949-13-3,0.9487025
111-86-4,0.6327676
2687-94-7,0.9946774
26530-20-1,0.67156065
17751-69-8,-0.2218868
21270-15-5,-0.14725167
21270-11-1,-0.16895418
1034-01-1,1.0203052
15741-90-9,-0.06920398
117617-70-6,-0.14315496
142-31-4,0.9502088
4724-48-5,1.0121802
55512-33-9,0.24284409
124-13-0,1.130254
104-67-6,1.2730656
18979-65-2,0.73556954
7377-03-9,1.0840703
4230-97-1,0.7856275
111-70-6,1.3945312
2499-58-3,1.3709466
2463-53-8,1.062245
26680-54-6,0.9354188
111-71-7,1.454867
119-89-1,0.51312363
101-86-0,1.1868793
136-77-6,0.7985519
30406-18-9,1.4554685
111-14-8,1.3441088
111-26-2,0.6649127
61422-45-5,0.52432424
111-27-3,1.1532663
112-25-4,1.1398541
112-59-4,1.3002179
10305-38-1,1.2691544
3478-44-2,0.83075476
21270-33-7,-0.21129793
21270-14-4,-0.17874037
5431-31-2,1.1127907
107187-05-3,0.584007
6789-88-4,1.2226603
17867-69-5,0.594674
111-31-9,1.4791361
544-10-5,1.3861097
42482-06-4,1.0684388
66-25-1,1.505731
104-61-0,1.4833331
3391-86-4,1.0517327
745-65-3,0.139646
363-24-6,0.014355708
80614-27-3,0.49982417
101-85-9,1.0367672
136-81-2,0.75016373
38237-76-2,0.37916434
4312-93-0,1.457228
123-68-2,0.88111615
10589-74-9,0.6871038
71-41-0,1.439675
17810-53-6,-0.106118806
21270-10-0,-0.15915246
104485-01-0,-0.08565358
101893-08-7,-0.07235447
2720-73-2,0.8840014
20056-92-2,1.4341152
18829-55-5,1.2150071
110-62-3,1.4244802
110-59-8,0.82219625
104-50-7,1.4415835
841-73-6,0.49302608
2210-63-1,0.33403444
50-33-9,0.3391668
129-20-4,0.26795998
6066-49-5,1.1567303
335153-21-4,0.9021438
64357-33-1,0.2381017
536-69-6,1.0243723
3180-09-4,0.6611387
16006-72-7,0.4416322
87792-15-2,0.48712492
87792-14-1,0.6192988
87792-13-0,-0.05552755
109-52-4,1.4788201
61019-78-1,0.46558702
88671-89-0,0.4434946
58902-64-0,0.3762357
27470-51-5,0.3873714
79983-71-4,0.5878453
38615-43-9,0.462996
111-75-1,1.1474129
1126-78-9,0.78284913
2782-40-3,0.7429402
592-31-4,1.2981919
6336-01-2,0.29051915
55406-53-6,0.10031379
13887-58-6,0.59149843
3622-84-2,0.71845585
111-36-4,0.6178925
1005-67-0,1.0505823
3817-11-6,0.8102071
16227-10-4,0.3765032
63716-31-4,0.070998386
54395-37-8,0.6805151
71-36-3,1.3505819
1928-45-6,0.3042284
6959-71-3,1.2015501
7420-06-6,1.3604114
111-76-2,1.2109069
112-34-5,1.2490098
143-22-6,1.3632421
112-56-1,0.7042026
4223-11-4,1.2726656
3102-00-9,0.9588155
2426-08-6,1.308841
1852-16-0,0.7043525
111-34-2,1.38402
17751-76-7,0.07156976
21269-98-7,0.31279504
33236-00-9,0.20550425
70193-21-4,0.42987874
5459-58-5,0.9065908
66232-25-5,-0.047732964
7397-62-8,1.4916749
94-80-4,0.29473603
2438-72-4,0.77012265
141-32-2,1.3919296
90842-58-3,0.12828395
136-60-7,1.4746944
20954-14-7,0.37237614
28570-58-3,0.5495718
67330-25-0,0.42254964
75147-20-5,0.5726857
64047-35-4,0.6416489
544-16-1,0.6492644
6607-49-4,1.2916236
2314-17-2,0.7808442
4560-93-4,0.028696371
64910-63-0,0.72483116
109-69-3,1.3482162
109-67-1,0.8746557
928-95-0,1.3731737
123-72-8,1.4611721
109-74-0,0.6220974
66246-88-6,0.48474693
1211-28-5,0.43144098
60207-90-1,0.44591126
1003-14-1,1.189896
105-31-7,1.0109074
39067-39-5,0.99957013
6082-56-0,0.3269666
103-65-1,1.3230637
28785-06-0,1.2263972
645-56-7,0.92519146
94-58-6,0.8674481
644-35-9,0.6616096
7231-31-4,0.6087159
51-52-5,0.8556073
14222-60-7,0.5213312
75464-11-8,-0.0044280817
1688-71-7,0.2882528
97392-14-8,0.26304504
2051-78-7,0.8075346
103-37-7,1.1929731
123-20-6,0.907151
36597-90-7,0.61662143
107-10-8,0.9229305
94-20-2,0.72648805
13887-60-0,0.7167647
73941-13-6,0.4438936
27050-40-4,0.24582952
33245-39-5,0.33641934
26399-36-0,0.6322075
64057-89-2,0.51304364
4634-51-9,-1.9340415
41078-02-8,0.66843426
816-57-9,0.62228906
2807-30-9,1.2812732
110-74-7,1.5783365
33235-97-1,0.2797896
33236-21-4,0.49792987
627-12-3,1.1608994
1713-98-0,-0.847208
18705-22-1,0.24350707
64050-66-4,-0.42289525
107-03-9,1.2624329
49828-25-3,0.29268768
13889-92-4,0.7044759
38827-35-9,0.45786428
68526-56-7,0.9460177
928-96-1,1.343898
65405-77-8,1.0432678
2091-24-9,1.1455866
5910-85-0,0.9568326
17369-59-4,1.0886127
107-12-0,0.39414385
118-68-3,0.5284301
96-20-8,1.5413185
3174-67-2,1.4724271
584-03-2,1.656655
56983-13-2,0.7351458
106-88-7,1.0619063
117-26-0,0.56972545
435-97-2,0.06141544
14845-06-8,0.36979243
512-16-3,0.5877262
12663-46-6,0.502614
80834-51-1,0.029651994
66571-24-2,0.99386305
78-99-9,1.3452407
58-54-8,0.47179842
1146-95-8,0.25145093
42790-35-2,0.79015946
60270-84-0,0.5418566
89426-87-9,-0.67645353
5223-06-3,0.928266
5408-74-2,0.6849081
102268-15-5,1.0874901
536-33-4,0.7113231
14736-30-2,0.7566607
121518-45-4,0.39324272
27653-49-2,0.3327258
58-14-0,0.06983313
70-69-9,0.32335895
2295-58-1,0.89642537
63605-45-8,0.07033228
4940-11-8,0.9349147
3781-28-0,0.09626091
89427-48-5,-0.59932804
709-98-8,0.8622266
13808-36-1,0.51145476
75764-58-8,-0.13773237
15301-48-1,-0.15888444
79-09-4,1.1930928
23495-12-7,1.1312203
103-56-0,1.162537
122-63-4,1.2391847
1531-97-1,1.024734
682-11-1,1.0902798
682-09-7,0.95201397
30499-70-8,0.42099607
824-11-3,0.47980025
1005-93-2,-0.2346541
115-70-8,1.8660942
3819-07-6,0.8682031
7747-35-5,0.57043254
19882-03-2,0.1678089
6533-00-2,0.6865711
77-21-4,0.6841105
77236-50-1,0.65467376
5556-57-0,0.5796289
50-19-1,0.769583
125-33-7,0.55091274
50-06-6,-0.0055827103
57-30-7,0.39493072
56430-99-0,0.5020826
7689-03-4,0.040252816
7789-89-1,1.018594
75-04-7,1.0221715
709-55-7,0.65394884
71130-60-4,0.3329431
5459-93-8,0.41357365
5465-00-9,0.82620543
58473-74-8,0.51347035
625-53-6,0.07982213
139-94-6,0.61333734
89427-19-0,-0.29805362
4151-50-2,-0.380878
107-29-9,0.7518491
5308-25-8,0.9984214
93106-60-6,0.40591222
139-87-7,1.4955572
100-74-3,0.94987994
538-07-8,-0.65795237
134-97-4,1.073658
23205-24-5,-0.11685847
67658-42-8,-0.28569803
2687-91-4,1.3963681
92-50-2,0.9005266
92-49-9,0.30267978
1508-75-4,0.4980768
7081-53-0,-0.24513641
62924-70-3,-0.5913338
13256-23-0,0.46047267
82018-90-4,0.084158465
2991-51-7,-0.11819581
14698-29-4,0.6791597
51940-44-4,0.6656963
13256-13-8,0.37566355
20373-56-2,0.5859781
21590-92-1,0.32920623
63716-33-6,0.48457983
63744-48-9,0.17589433
132-32-1,0.51184326
128-53-0,1.075167
86-35-1,0.7452662
34929-03-8,0.17493789
28657-80-9,0.76742655
32976-88-8,0.76210433
64-17-5,1.4035921
111-73-9,1.2803973
111-35-3,1.6104819
64050-15-3,1.0476092
2141-62-0,1.4835824
110-80-5,1.6059479
111-90-0,1.6951592
112-50-5,1.676212
64057-86-9,1.0156827
106-74-1,0.79861724
6012-83-5,0.45887297
122453-73-0,0.011378994
109-94-4,1.5191773
2979-26-2,1.3083005
103-75-3,1.0632229
33210-54-7,0.44915986
33210-37-6,-0.0098378835
33235-81-3,0.37825292
33236-11-2,0.5875671
33235-92-6,0.36564413
33210-59-2,0.16711147
33235-90-4,-0.063900925
4234-79-1,-0.3033204
638-07-3,0.37551606
101-97-3,1.3161215
14062-23-8,1.1755546
2122-70-5,0.96552825
27512-72-7,0.6633668
2949-22-6,0.7927734
21045-68-1,0.95436054
77501-90-7,0.34947032
623-51-8,0.51342374
637-56-9,0.8993042
23609-20-3,0.756809
150-69-6,1.0014763
38160-03-1,0.5996016
19077-60-2,0.76913965
100-29-8,1.0102129
93-18-5,1.1026795
61361-59-9,-0.38396832
66840-01-5,-0.24412756
60634-59-5,0.55825096
938-73-8,1.0867083
80834-62-4,0.150432
80834-63-5,0.123139255
80834-80-6,-0.08600408
80834-59-9,0.10511766
80834-56-6,0.122308664
96222-01-4,0.1742694
46817-91-8,0.6912367
118-28-5,0.88131857
63716-32-5,0.19029981
42874-03-3,0.11111521
140-88-5,0.8444629
103-36-6,1.2821761
6048-06-2,1.0339627
14731-78-3,0.9202155
117666-88-3,0.58774966
117666-82-7,0.69107443
95266-40-3,0.5017451
97-81-4,0.92789054
4089-07-0,0.85435385
868-59-7,0.8230893
1187-46-8,0.45372614
121-39-1,1.3176095
548-00-5,0.3294848
9000-40-2,0.6176354
10029-04-6,1.4778252
7085-85-0,0.7991372
89-33-8,1.0166115
93-89-0,1.4092194
94-09-7,1.2732925
99-77-4,1.0088156
120-47-8,1.2212771
56974-61-9,0.8071994
87-25-2,1.3069232
19485-08-6,0.4489216
734-88-3,0.6191326
19688-04-1,0.70623744
13915-60-1,0.6848383
126-12-5,-0.0708069
5794-23-0,0.36843827
2385-81-1,0.13457154
3691-78-9,0.19702926
510-15-6,0.89864194
51-79-6,1.0457938
13684-56-5,1.0317469
105774-14-9,-0.14294405
75507-68-5,0.28894398
33400-47-4,0.40757355
25717-80-0,0.46949962
13945-53-4,0.116404206
2593-15-9,0.51560044
2521-01-9,0.5558556
16322-14-8,0.53062636
1097-57-0,0.71700245
541-41-3,0.56657726
59463-54-6,0.508572
7495-45-6,0.8082476
719-80-2,0.6558524
23510-39-6,0.16097277
2425-19-6,-0.866545
13067-93-1,-0.47875723
2104-64-5,-0.67081296
1776-83-6,-0.40320936
1623-14-9,0.8901738
3309-67-9,-0.78993493
71363-61-6,-0.61003107
36519-00-3,-0.1100833
17109-49-8,0.08165562
1498-51-7,0.24337193
7508-73-8,-0.4154374
1498-64-2,0.31627995
607-01-2,0.50061864
19133-28-9,-0.71972114
75-08-1,1.1774182
18370-87-1,1.122641
19594-18-4,0.3840433
32666-97-0,0.6701847
2212-67-1,0.6108075
513-12-2,1.4779472
594-44-5,0.5975398
74-96-4,0.81919736
10141-07-8,0.8325043
623-68-7,0.9570877
16491-24-0,1.1804123
60364-26-3,0.9261092
130-01-8,-0.31718644
480-54-6,-0.68195266
15503-86-3,-0.32987565
25402-06-6,0.5709593
3016-19-1,1.3446612
121-20-0,0.24337786
81719-55-3,0.5716569
23726-91-2,1.1346799
102518-79-6,0.3767545
625-33-2,0.7082129
480-81-9,-0.36537367
16568-02-8,0.547219
2883-98-9,0.64137536
15037-65-7,-0.09276291
93-16-3,1.1061392
97-54-1,1.1519626
120-11-6,0.7308486
4635-87-4,0.64134896
964-82-9,0.3131808
142-83-6,0.8545614
1516-01-4,0.65374887
4076-62-4,0.75967383
637-50-3,1.3717378
120-58-1,0.9941105
13061-80-8,0.8307958
14861-06-4,0.8303174
590-21-6,1.3110733
16219-75-3,1.080474
38233-76-0,0.7945128
88430-50-6,0.09809115
75-05-8,0.27731684
2001-95-8,-0.09122785
3922-90-5,-0.19841841
12750-79-7,-0.8923019
37280-56-1,-0.22577943
25448-25-3,1.2655995
25103-12-2,1.1801031
23079-28-9,0.92735505
96513-83-6,0.18114954
3818-80-2,-0.30821845
2667-52-9,-0.83288425
3081-14-9,0.9300631
68880-55-7,0.2453817
123-17-1,1.3689328
60828-78-6,1.3115901
73747-29-2,0.48927888
303-45-7,0.5233675
25497-49-8,0.48980525
77855-81-3,-1.0799234
24365-47-7,0.36651292
51356-22-0,-0.030517826
51356-10-6,-0.5888992
26544-38-7,1.1963019
71108-02-6,-0.2847708
25265-77-4,1.2648275
50-14-6,-0.5834289
54573-75-0,-2.3062463
330-64-3,0.20031597
60244-70-4,-1.0138496
60244-66-8,-1.1062977
7492-32-2,0.27652445
50-34-0,0.17717098
3700-96-7,0.11397103
3700-90-1,0.033670284
60244-69-1,-0.8305901
143201-11-0,0.27649146
1610-18-0,0.89921564
99559-84-9,-0.17007338
1445-75-6,1.0981072
27554-26-3,1.711058
10086-50-7,1.2356213
63980-62-1,1.1279116
110-96-3,0.36354828
29214-81-1,0.033746444
127-39-9,0.7780886
84-69-5,1.3605701
97-85-8,1.5558758
132299-20-8,1.3323966
38640-62-9,1.1441325
28178-42-9,1.13061
94133-79-6,1.1160642
565-80-0,1.0086833
50847-11-5,0.67631096
97-72-3,1.4913584
108-18-9,0.5326665
2986-17-6,0.5289366
139-40-2,0.7828823
38588-65-7,0.7526386
96-80-0,1.0528036
66660-95-5,0.43634552
4261-68-1,0.4794023
2303-16-4,0.5877668
601-77-4,0.5957545
108-20-3,1.4263852
7283-70-7,1.3882174
50512-35-1,0.3004997
59937-28-9,0.6200525
105-64-6,0.9707882
1809-20-7,0.956022
26087-47-8,0.0023985666
51356-07-1,-0.5746389
51356-16-2,-0.015777962
10141-19-2,1.3430308
67786-25-8,0.7765354
371756-75-1,0.40898722
3773-49-7,0.08242572
108-62-3,1.0659617
68857-95-4,0.7224606
104987-11-3,-0.24101426
51596-10-2,-0.9907822
10176-39-3,-1.1031259
42588-37-4,1.0337932
108-84-9,1.5638325
67306-03-0,0.4582555
30685-43-9,-1.331178
15662-33-6,-0.9019504
20562-02-1,-0.82494664
71-63-6,-0.8739335
20830-75-5,-1.6739569
41294-56-8,-1.7174339
57333-96-7,-2.3848257
17578-43-7,0.31606907
18470-09-2,0.13493942
550-53-8,0.48730725
56717-11-4,0.67169696
543-82-8,0.4362218
3081-01-4,0.68022776
7535-34-4,0.554742
108-11-2,1.2273757
23436-19-3,1.3072758
89-80-5,1.2909584
66941-88-6,0.29270104
103-95-7,1.03655
57144-56-6,0.61728925
64059-37-6,0.7182923
55636-92-5,0.62594265
42978-66-5,0.97333217
123-63-7,0.7663374
21259-20-1,0.07200094
40580-61-8,0.6580352
964-52-3,0.5245336
121489-04-1,0.066262424
30562-34-6,0.060266774
66085-59-4,0.3400085
78194-09-9,0.81940335
24353-58-0,0.6136222
489-84-9,1.1593059
6223-35-4,0.77890754
17493-73-1,0.8012471
92671-67-5,0.5781161
113139-67-6,0.84497917
63982-52-5,0.049216192
18659-45-5,-0.9000927
2752-71-8,-0.325356
119-38-0,-0.57088596
72542-61-1,-0.749777
78194-24-8,0.52491003
78194-42-0,0.8293798
15037-62-4,0.28147012
75530-68-6,0.5332665
97-86-9,1.7041973
23684-11-9,1.2336082
110-12-3,1.2039213
3572-41-6,0.4310147
70318-55-7,0.7008162
70318-56-8,0.5607005
26544-20-7,0.6641343
81250-17-1,-0.153917
123-92-2,1.6702813
110-19-0,1.6488487
99-86-5,1.3584312
542-08-5,1.3788083
99-87-6,1.2784499
535-77-3,1.5281566
89-83-8,0.7725509
22760-18-5,0.7723402
65765-07-3,0.34067017
499-75-2,0.88105685
2814-20-2,0.79989475
80176-21-2,0.55093604
55814-41-0,0.8294605
563-80-4,1.2370106
59230-57-8,1.3211129
39543-79-8,0.6007257
314-42-1,0.49038538
123524-52-7,-0.5109229
6673-35-4,0.8002425
108-21-4,1.6654953
4212-94-6,0.74366045
12650-69-0,0.45278215
828-00-2,1.3314878
68425-16-1,0.48014653
67239-26-3,0.591578
40915-86-4,0.46705142
35256-85-0,0.6904131
19666-30-9,0.12278485
129909-90-6,0.19317406
71108-05-9,-1.3147769
71108-06-0,-0.7350774
111038-42-7,0.17678039
13254-34-7,1.1336377
3445-42-9,1.2764415
14860-89-0,1.442247
26762-93-6,1.0786834
36011-19-5,-0.1781151
33160-78-0,-1.8096609
154619-51-9,-1.1470863
69915-63-5,0.60709167
581-12-4,0.8614994
470-67-7,1.0693823
512-85-6,0.8974021
63968-64-9,0.32000464
13613-99-5,0.11650404
3035-45-8,0.66406745
1014-69-3,0.64383847
64-00-6,0.22549246
2752-81-0,-0.21504009
2631-40-5,-0.28319475
114-26-1,-0.043955524
366-70-1,0.52040005
54266-83-0,-1.1972437
106293-84-9,-1.1596862
73115-70-5,-0.05969774
2315-43-7,0.6150274
1505-95-9,-0.29057282
996-35-0,0.719805
3938-45-2,0.013435657
24730-10-7,-0.5584446
54270-10-9,0.45143628
18952-79-9,0.0648975
26328-00-7,0.72071195
69788-41-6,0.5086516
97887-77-9,0.13450086
6659-45-6,-0.65272343
22343-07-3,-0.57279897
64249-01-0,-0.3900941
14211-01-9,-0.42255118
36614-38-7,-1.0669541
19645-42-2,-0.5156777
79985-91-4,-0.50193036
71617-10-2,1.0218848
3567-08-6,0.5387075
17959-11-4,0.30159363
404-86-4,0.5940719
111038-37-0,0.32659072
72739-69-6,0.41205114
23485-79-2,-0.7438427
24353-61-5,0.48913977
13955-12-9,-1.5426257
15863-65-7,-0.7109822
14358-50-0,0.6049914
24017-18-3,-0.86685276
6838-93-3,0.82874596
107-44-8,0.69135976
71048-99-2,0.98025596
959-24-0,0.48184714
1330-61-6,1.4355184
26544-23-0,0.96657115
27013-89-4,1.1328956
25168-26-7,0.35822317
25103-09-7,0.5322963
646-07-1,1.3895029
41764-14-1,0.6698467
110-45-2,1.6508201
94-46-2,1.2815673
87-20-7,1.0812728
928-70-1,0.730289
590-86-3,1.5366546
1553-60-2,0.9871453
72221-66-0,0.65017194
93-19-6,0.6417902
503-74-2,1.2931039
140-26-1,1.2151719
2835-39-4,0.979548
78-81-9,0.8869282
33207-44-2,0.38518858
371-44-8,-0.021007227
52102-44-0,0.7515863
30979-48-7,0.88724476
13887-57-5,0.65060455
78-83-1,1.4034946
4439-24-1,1.278966
51550-64-2,0.30263227
105-01-1,1.0988878
1713-15-1,0.29083383
106-63-8,1.0489277
120-50-3,1.2735265
87-19-4,1.1679851
27442-58-6,0.1972882
513-44-0,1.361109
4621-04-9,1.1495981
34131-99-2,1.2894455
528-92-7,0.7658294
70124-77-5,0.10894803
66827-38-1,-0.13318953
7407-66-1,0.5145541
496-67-3,0.45678666
565-74-2,0.6632468
64047-48-9,0.79229057
91132-80-8,0.7673247
68683-20-5,1.2511758
4395-92-0,1.4370854
536-60-7,1.1863718
13816-33-6,1.1507589
31027-31-3,1.1779897
17959-33-0,0.07064863
1333-53-5,0.7222091
643-28-7,0.68031085
13311-84-7,0.10057549
80-34-2,0.6551029
79-31-2,1.3295907
103-48-0,1.3104442
103-28-6,1.2068478
1532-00-9,0.92658985
56425-91-3,0.25417426
73681-12-6,0.092872754
21738-42-1,0.4242359
63659-19-8,0.5631533
29122-68-7,0.71577305
59333-90-3,0.55733454
86247-86-1,0.7109563
81486-22-8,0.54182094
586-06-1,0.636621
5588-22-7,0.6105116
14334-41-9,0.46078837
31802-16-1,0.32966647
768-52-5,0.8754909
101-72-4,0.85114205
2210-25-5,0.8529908
637-32-1,0.41836348
22936-86-3,0.7405803
36734-19-7,0.6762714
63884-40-2,1.1542566
3544-35-2,0.43778044
54-92-2,0.4874691
35944-83-3,0.2502596
2030-63-9,0.4344197
58934-46-6,0.207297
3772-26-7,0.9669009
142459-58-3,0.21285221
1918-16-7,0.71209073
98410-36-7,0.3176959
25057-89-0,0.8024638
79-46-9,0.6730266
67-63-0,1.6788619
4016-14-2,1.3370143
93-78-7,0.5412041
83656-29-5,0.60277647
29026-74-2,0.91442215
38753-50-3,0.81994027
939-48-0,1.3031842
68334-67-8,0.26313475
5836-10-2,0.4615839
122-42-9,0.7121407
108-23-6,0.5846429
1714-03-0,-0.6544931
1713-97-9,-0.8713464
24441-57-4,-0.85400116
4095-32-3,0.4062443
500-38-9,0.843104
106-55-8,1.0610683
61477-94-9,0.31192005
98459-18-8,0.17305708
7652-64-4,0.612002
2935-44-6,1.5791597
110-97-4,1.6216098
110-98-5,1.5185878
25322-69-4,1.9261769
25136-55-4,1.3668681
1073-79-6,1.3024006
141-91-3,1.1915965
1593-77-7,0.6531072
10140-90-6,-0.0027965799
108-60-1,0.41894647
57472-68-1,1.1462086
27138-31-4,1.1535435
13275-18-8,0.606062
14663-72-0,-1.0935043
579-56-6,0.72821844
7681-93-8,-0.037068926
6280-75-7,0.41509125
93-96-9,0.9912896
4351-70-6,-0.32394126
21145-77-7,0.6104721
359-83-1,-0.21723448
123298-28-2,0.7861147
57646-30-7,0.61959
105-85-1,1.5229317
8000-29-1,1.4689133
51566-62-2,1.1008316
502-47-6,1.1943944
16409-43-1,1.4358953
36798-79-5,0.71130395
111479-05-1,0.40479
5370-01-4,0.6541316
40766-31-2,0.9287691
95719-24-7,0.8672891
58430-94-7,1.4977136
77-54-3,0.84623545
5634-42-4,0.5389117
80449-58-7,1.0309377
2885-39-4,-0.49856046
34681-10-2,-1.2190832
1477-79-8,0.16179846
62-51-1,1.0163153
108-65-6,1.5081452
23541-50-6,-1.2343796
63170-60-5,-0.085770465
27813-02-1,0.98581356
3644-61-9,0.36549374
22683-78-9,0.31425363
60789-89-1,0.26594415
10402-52-5,1.3149419
40552-84-9,1.111714
143692-40-4,0.4053607
1331-12-0,1.3635018
72619-44-4,-0.20594129
68683-30-7,0.6884378
57852-57-0,-0.6801471
39472-31-6,-0.805413
6731-36-8,1.3296286
33704-61-9,0.931939
91-51-0,0.6896374
3302-10-1,1.1801062
71500-37-3,1.0956366
80-54-6,1.1765375
12002-53-8,0.67878383
140-57-8,0.22415148
57018-52-7,1.4285018
60560-33-0,0.25223538
32222-06-3,-1.9775915
93503-00-5,-2.2331107
1845-38-1,1.143861
456-59-7,0.76018304
53445-37-7,0.76010734
18479-58-8,0.95425445
21564-62-5,0.39853388
