CASRN,Toxic_xgboost_ecfp6bits-0,Toxic_xgboost_ecfp6bits-1
1103234-56-5,0.8164245,0.18357554
540-54-5,0.15554786,0.84445214
68526-56-7,0.5836102,0.41638985
928-96-1,0.72983634,0.27016369
33467-73-1,0.72445625,0.27554375
42436-07-7,0.71461844,0.28538156
65405-77-8,0.7910353,0.20896472
24880-45-3,0.8521248,0.14787517
2091-24-9,0.72610605,0.27389395
5910-85-0,0.44662404,0.55337596
17369-59-4,0.58093107,0.4190689
107-12-0,0.43748897,0.562511
118-68-3,0.3896368,0.6103632
96-20-8,0.6892096,0.3107904
3174-67-2,0.61315274,0.38684726
584-03-2,0.6417563,0.35824373
695-06-7,0.69174904,0.30825096
56983-13-2,0.30794847,0.69205153
4437-85-8,0.52126706,0.4787329
98519-44-9,0.05695772,0.9430423
98518-99-1,0.041776657,0.95822334
98532-66-2,0.05649346,0.94350654
106-88-7,0.4124946,0.5875054
65-14-5,0.46884114,0.53115886
117-26-0,0.15735811,0.8426419
435-97-2,0.12553847,0.87446153
90-49-3,0.38210607,0.61789393
14845-06-8,0.1208902,0.8791098
512-16-3,0.46158016,0.53841984
12663-46-6,0.30215394,0.69784606
80834-51-1,0.4651271,0.5348729
113614-08-7,0.41054767,0.5894523
1824-58-4,0.6317724,0.3682276
66571-24-2,0.22859854,0.77140146
34314-31-3,0.4127866,0.5872134
78-99-9,0.3523618,0.6476382
58-54-8,0.40715414,0.59284586
1146-95-8,0.6381139,0.36188608
42790-35-2,0.44412047,0.55587953
60270-84-0,0.7805338,0.21946621
89426-87-9,0.052537024,0.947463
5223-06-3,0.5649275,0.43507248
5408-74-2,0.41126376,0.58873624
102268-15-5,0.8077503,0.19224973
536-33-4,0.089776814,0.9102232
14736-30-2,0.29885656,0.70114344
121518-45-4,0.5062201,0.49377993
27653-49-2,0.22905982,0.7709402
58-14-0,0.09067184,0.90932816
149979-41-9,0.57159513,0.42840487
168152-88-3,0.053103745,0.94689626
127277-53-6,0.67290616,0.32709384
70-69-9,0.3698138,0.6301862
2295-58-1,0.49530447,0.50469553
63605-45-8,0.20013791,0.7998621
4940-11-8,0.3556348,0.6443652
1477-19-6,0.5142773,0.48572272
3781-28-0,0.18649215,0.81350785
106006-84-2,0.48435378,0.5156462
89427-48-5,0.1752178,0.8247822
709-98-8,0.29935455,0.70064545
13808-36-1,0.35151654,0.64848346
75764-58-8,0.11359435,0.88640565
15301-48-1,0.3367257,0.6632743
79-09-4,0.60413444,0.3958656
23495-12-7,0.7654779,0.23452207
103-56-0,0.8442136,0.15578638
122-63-4,0.75669837,0.24330166
1531-97-1,0.6522713,0.3477287
17511-60-3,0.6441253,0.35587472
682-11-1,0.5511062,0.44889376
682-09-7,0.56544805,0.43455192
5187-23-5,0.7012156,0.29878435
3047-32-3,0.62268883,0.37731117
30499-70-8,0.57749707,0.42250293
66492-51-1,0.44618255,0.55381745
824-11-3,0.46668816,0.53331184
1005-93-2,0.29537326,0.70462674
10097-02-6,0.57777435,0.42222565
115-70-8,0.50877404,0.49122593
3819-07-6,0.5214739,0.4785261
7747-35-5,0.19135159,0.8086484
19882-03-2,0.68370676,0.3162932
6533-00-2,0.67442644,0.3255736
77-21-4,0.31662673,0.6833733
77236-50-1,0.18400538,0.8159946
5556-57-0,0.32165885,0.67834115
50-19-1,0.36011338,0.6398866
509-86-4,0.6021426,0.39785746
125-33-7,0.25921458,0.7407854
50-06-6,0.49028784,0.50971216
57-30-7,0.21896386,0.78103614
61837-66-9,0.73189104,0.268109
74697-48-6,0.34786928,0.6521307
56430-99-0,0.4314,0.5686
7689-03-4,0.3692965,0.6307035
7789-89-1,0.19619948,0.8038005
75-04-7,0.25458604,0.74541396
709-55-7,0.31355596,0.68644404
71130-60-4,0.31481487,0.68518513
5459-93-8,0.3938796,0.6061204
85697-07-0,0.52941966,0.4705803
5465-00-9,0.4351585,0.5648415
58473-74-8,0.26066965,0.73933035
625-53-6,0.09424406,0.90575594
71475-35-9,0.4460681,0.5539319
139-94-6,0.3431142,0.6568858
68228-19-3,0.39440882,0.6055912
89427-19-0,0.085365474,0.9146345
4151-50-2,0.46624303,0.533757
107-29-9,0.31778425,0.68221575
5308-25-8,0.18741637,0.8125836
93106-60-6,0.61007875,0.38992125
139-87-7,0.39804262,0.6019574
100-74-3,0.38144004,0.61855996
538-07-8,0.070213854,0.92978615
134-97-4,0.29081893,0.7091811
23205-24-5,0.47409272,0.5259073
67658-42-8,0.13065511,0.8693449
2687-91-4,0.6089418,0.39105824
92-50-2,0.51156664,0.4884334
92-49-9,0.22151268,0.7784873
1508-75-4,0.38490582,0.6150942
7081-53-0,0.16158056,0.83841944
62924-70-3,0.2956267,0.7043733
13147-25-6,0.2242083,0.7757917
13256-23-0,0.19159037,0.80840963
82018-90-4,0.10149068,0.8985093
2991-51-7,0.7111524,0.28884763
70458-96-7,0.7372249,0.26277512
14698-29-4,0.6834415,0.31655848
51940-44-4,0.67796516,0.3220348
19562-30-2,0.70182157,0.29817846
13256-13-8,0.17272633,0.82727367
80472-85-1,0.18241817,0.81758183
20373-56-2,0.28051382,0.7194862
62899-75-6,0.38753998,0.61246
21590-92-1,0.15519768,0.8448023
63716-33-6,0.121150136,0.87884986
78467-49-9,0.14671004,0.85328996
63744-48-9,0.1407907,0.8592093
86-28-2,0.112194836,0.88780516
132-32-1,0.15803152,0.8419685
128-53-0,0.4213978,0.5786022
86-35-1,0.46940386,0.53059614
34929-03-8,0.12745512,0.8725449
28657-80-9,0.31091672,0.6890833
32976-88-8,0.22428495,0.77571505
3784-99-4,0.50621486,0.49378517
1239-45-8,0.19824237,0.80175763
64-17-5,0.6454804,0.35451958
111-73-9,0.8398317,0.1601683
111-35-3,0.7702526,0.22974743
64050-15-3,0.6078327,0.39216736
2141-62-0,0.76434803,0.23565196
110-80-5,0.71046317,0.28953686
111-90-0,0.69252384,0.30747613
112-50-5,0.7604378,0.23956223
64057-86-9,0.5813876,0.41861242
106-74-1,0.51253223,0.48746774
98519-29-0,0.07585943,0.9241406
6012-83-5,0.37868202,0.621318
122453-73-0,0.42922294,0.57077706
58567-11-6,0.7083573,0.29164273
109-94-4,0.588091,0.411909
2979-26-2,0.7640995,0.2359005
103-75-3,0.5692839,0.4307161
10310-32-4,0.3654378,0.6345622
33210-54-7,0.033421636,0.96657836
33210-37-6,0.02653128,0.9734687
33235-81-3,0.028769732,0.97123027
33236-11-2,0.26737624,0.73262376
33235-92-6,0.043558836,0.95644116
33210-59-2,0.042818546,0.95718145
33235-90-4,0.04485923,0.95514077
4234-79-1,0.5015186,0.49848136
64037-28-1,0.40288,0.59712
105-56-6,0.55240166,0.44759834
638-07-3,0.33420712,0.6657929
101-97-3,0.688594,0.31140605
14062-23-8,0.6926336,0.30736634
2122-70-5,0.40131974,0.59868026
27512-72-7,0.48890424,0.51109576
2949-22-6,0.62706506,0.37293497
25059-80-7,0.29449147,0.70550853
119-41-5,0.6480465,0.3519535
21045-68-1,0.4911819,0.5088181
34580-65-9,0.12292236,0.87707764
77501-90-7,0.5801109,0.41988912
623-51-8,0.4767636,0.5232364
63935-38-6,0.3525387,0.6474613
637-56-9,0.24623239,0.7537676
23609-20-3,0.60950464,0.39049536
150-69-6,0.5573382,0.44266182
38160-03-1,0.3185507,0.6814493
19077-60-2,0.5105021,0.4894979
100-29-8,0.4123249,0.5876751
88599-72-8,0.86205745,0.13794255
93-18-5,0.6854865,0.3145135
61361-59-9,0.30660087,0.69339913
66840-01-5,0.11240423,0.8875958
60634-59-5,0.6406852,0.35931483
18637-00-8,0.45984197,0.54015803
938-73-8,0.58353233,0.41646764
80834-62-4,0.1189245,0.8810755
80834-63-5,0.08880526,0.91119474
80834-80-6,0.21599782,0.7840022
80834-59-9,0.0883382,0.9116618
80834-56-6,0.124375224,0.8756248
96222-01-4,0.38615078,0.6138492
46817-91-8,0.27493328,0.7250667
118-28-5,0.87777495,0.122225046
63716-32-5,0.27526164,0.72473836
42874-03-3,0.34791774,0.65208226
140-88-5,0.47524065,0.52475935
103-36-6,0.79842263,0.20157738
6048-06-2,0.8210836,0.17891641
14731-78-3,0.76222897,0.23777102
117666-88-3,0.28406727,0.7159327
117666-82-7,0.21692616,0.78307384
95266-40-3,0.6190843,0.3809157
97-81-4,0.51601994,0.4839801
4089-07-0,0.6481827,0.3518173
868-59-7,0.36205775,0.63794225
92077-78-6,0.8547281,0.14527188
86541-74-4,0.760259,0.23974104
110221-44-8,0.8109212,0.18907884
38109-77-2,0.48007137,0.51992863
1187-46-8,0.4444726,0.5555274
121-39-1,0.5931155,0.4068845
548-00-5,0.31071204,0.68928796
29177-84-2,0.80391526,0.19608475
9000-40-2,0.522854,0.47714603
454-31-9,0.47185767,0.52814233
34580-75-1,0.09950471,0.9004953
10029-04-6,0.7308049,0.2691951
7085-85-0,0.404863,0.595137
89-33-8,0.4853086,0.5146914
93-89-0,0.7210234,0.27897662
94-09-7,0.58154595,0.41845405
99-77-4,0.6281489,0.37185112
120-47-8,0.7236123,0.27638772
56974-61-9,0.7053744,0.29462558
87-25-2,0.71007055,0.28992945
122277-22-9,0.6573537,0.3426463
19485-08-6,0.7325264,0.26747358
79660-46-1,0.42790425,0.57209575
98349-25-8,0.6852672,0.31473276
734-88-3,0.6177416,0.38225845
16078-71-0,0.5405352,0.45946482
142891-20-1,0.6924813,0.3075187
24237-54-5,0.51943064,0.4805694
19688-04-1,0.6493285,0.35067153
75274-22-5,0.35076684,0.64923316
74531-87-6,0.560043,0.43995702
103112-35-2,0.5332007,0.46679932
13915-60-1,0.20639598,0.793604
126-12-5,0.2032885,0.7967115
5794-23-0,0.09759337,0.90240663
2385-81-1,0.10108733,0.89891267
3691-78-9,0.079404175,0.9205958
510-15-6,0.52566546,0.47433454
383-63-1,0.49108756,0.50891244
515-84-4,0.3058654,0.6941346
51-79-6,0.5686719,0.43132812
13684-56-5,0.72382534,0.27617463
105774-14-9,0.29216176,0.70783824
75507-68-5,0.49893028,0.5010697
33400-47-4,0.63088655,0.36911345
25717-80-0,0.42365128,0.5763487
13945-53-4,0.4863242,0.5136758
139481-59-7,0.4200136,0.5799864
2593-15-9,0.37402332,0.6259767
79794-75-5,0.262334,0.737666
2521-01-9,0.34715503,0.65284497
16322-14-8,0.4225219,0.5774781
1097-57-0,0.42509907,0.5749009
541-41-3,0.4210232,0.5789768
59463-54-6,0.24324822,0.7567518
7495-45-6,0.4315992,0.5684008
719-80-2,0.47656107,0.52343893
23510-39-6,0.18132246,0.81867754
2425-19-6,0.033931315,0.9660687
13067-93-1,0.10241747,0.89758253
2104-64-5,0.0688113,0.9311887
1776-83-6,0.045437753,0.95456225
1623-14-9,0.4506175,0.5493825
3309-67-9,0.09967792,0.9003221
71363-61-6,0.10725927,0.8927407
36519-00-3,0.07367307,0.92632693
17109-49-8,0.07188243,0.9281176
1498-51-7,0.095908344,0.90409166
7508-73-8,0.045497715,0.9545023
1498-64-2,0.051249743,0.94875026
607-01-2,0.38402677,0.61597323
19133-28-9,0.06081909,0.9391809
75-08-1,0.25762683,0.74237317
110-77-0,0.48396575,0.51603425
18370-87-1,0.52102774,0.47897226
19594-18-4,0.39501208,0.6049879
32666-97-0,0.4311871,0.5688129
2212-67-1,0.5813471,0.4186529
181587-01-9,0.35617882,0.6438212
102251-91-2,0.31671596,0.68328404
513-12-2,0.6040783,0.3959217
594-44-5,0.42557758,0.5744224
74-96-4,0.3691485,0.6308515
10141-07-8,0.5583955,0.44160452
623-68-7,0.70496285,0.29503715
1733-25-1,0.42646617,0.57353383
16491-24-0,0.7505289,0.24947111
60364-26-3,0.63033956,0.36966044
130-01-8,0.20128947,0.7987105
480-54-6,0.2548281,0.7451719
15503-86-3,0.4799564,0.5200436
7785-33-3,0.8987159,0.1012841
25402-06-6,0.68120563,0.31879434
56172-46-4,0.93661225,0.06338773
3016-19-1,0.71573335,0.28426665
11141-17-6,0.80857384,0.19142616
121-20-0,0.62520134,0.3747987
81719-55-3,0.25236726,0.74763274
23726-91-2,0.3702588,0.6297412
8022-96-6,0.355443,0.644557
102518-79-6,0.4322726,0.5677274
625-33-2,0.7510718,0.24892816
80-59-1,0.58523947,0.41476053
240494-70-6,0.3010218,0.6989782
480-81-9,0.17056268,0.8294373
16568-02-8,0.23373586,0.76626414
2883-98-9,0.56449854,0.43550146
15037-65-7,0.19384849,0.8061515
93-16-3,0.63016045,0.36983958
7319-16-6,0.4875276,0.5124724
97-54-1,0.57656825,0.42343175
120-11-6,0.7073406,0.29265937
623-43-8,0.670057,0.329943
6842-15-5,0.51185644,0.48814353
4635-87-4,0.49704903,0.50295097
964-82-9,0.6271112,0.3728888
33956-49-9,0.8868546,0.11314541
15220-87-8,0.2826181,0.7173819
142-83-6,0.3569274,0.6430726
1516-01-4,0.22058302,0.779417
4076-62-4,0.729598,0.270402
637-50-3,0.6356111,0.36438888
120-58-1,0.5770003,0.42299968
13061-80-8,0.59406614,0.40593383
14861-06-4,0.6363214,0.36367854
590-21-6,0.26884198,0.731158
16219-75-3,0.41115618,0.5888438
38233-76-0,0.22669476,0.77330524
78919-13-8,0.46958822,0.5304118
88430-50-6,0.069778085,0.9302219
75-05-8,0.24888247,0.7511175
2001-95-8,0.50038,0.49962002
126-13-6,0.7433051,0.25669494
26305-03-3,0.6740042,0.32599583
3922-90-5,0.48944825,0.51055175
111-01-3,0.67796123,0.32203874
12750-79-7,0.79490775,0.20509225
72559-06-9,0.7492584,0.25074157
16846-24-5,0.89320546,0.106794514
101043-37-2,0.32026404,0.67973596
134652-60-1,0.54673517,0.4532648
6846-50-0,0.787796,0.212204
37280-56-1,0.8634461,0.1365539
25448-25-3,0.76550674,0.23449329
25103-12-2,0.6986444,0.30135557
23079-28-9,0.4646129,0.5353871
68937-40-6,0.4391784,0.5608216
126-71-6,0.27455866,0.72544134
96513-83-6,0.35050535,0.64949465
64532-95-2,0.61650676,0.38349324
2162-73-4,0.5620711,0.43792894
85187-23-1,0.45230597,0.547694
3818-80-2,0.13161111,0.8683889
2667-52-9,0.07700235,0.92299765
157859-20-6,0.43596303,0.56403697
3081-14-9,0.57061076,0.42938924
24916-51-6,0.74098325,0.25901675
68880-55-7,0.7869773,0.21302272
78164-00-8,0.5682891,0.4317109
123-17-1,0.6665727,0.3334273
60828-78-6,0.7923118,0.20768824
16409-46-4,0.81919986,0.18080015
73747-29-2,0.45341247,0.5465875
80621-81-4,0.74259365,0.25740632
3286-46-2,0.46907753,0.5309225
61379-65-5,0.66812384,0.33187613
4345-03-3,0.8568127,0.14318731
43119-47-7,0.79127836,0.20872161
1406-66-2,0.8234339,0.17656611
303-45-7,0.82791185,0.17208815
25497-49-8,0.51398396,0.48601606
84-80-0,0.7917454,0.20825455
77855-81-3,0.85444534,0.14555469
24365-47-7,0.62884057,0.3711594
51356-22-0,0.13937962,0.8606204
51356-10-6,0.17987734,0.82012266
21673-83-6,0.49999768,0.5000023
150-86-7,0.81807405,0.18192597
26544-38-7,0.7059582,0.2940418
70384-29-1,0.5837332,0.41626677
71108-02-6,0.051593482,0.9484065
25265-77-4,0.73115337,0.26884666
505-32-8,0.764601,0.23539902
50-14-6,0.13396454,0.86603546
54573-75-0,0.14771158,0.8522884
330-64-3,0.1971013,0.8028987
60244-70-4,0.07737714,0.92262286
60244-66-8,0.25692606,0.74307394
7492-32-2,0.2788207,0.7211793
50-34-0,0.375131,0.624869
3700-96-7,0.20975119,0.7902488
3700-90-1,0.10456234,0.89543766
60244-69-1,0.27598268,0.7240173
143201-11-0,0.813224,0.18677598
1610-18-0,0.487149,0.512851
99559-84-9,0.10660732,0.8933927
1445-75-6,0.4584028,0.5415972
41669-30-1,0.9269358,0.07306418
26401-35-4,0.92887133,0.071128674
28472-97-1,0.9269358,0.07306418
166412-78-8,0.9118657,0.088134274
27554-26-3,0.9400208,0.05997918
544-01-4,0.78229845,0.21770154
605-50-5,0.8655887,0.13441128
10086-50-7,0.7669526,0.23304744
63980-62-1,0.7726923,0.22730768
589-59-3,0.72403455,0.27596548
110-96-3,0.46703237,0.5329676
29214-81-1,0.19855803,0.80144197
127-39-9,0.78283423,0.21716577
84-69-5,0.8237091,0.17629094
53378-52-2,0.30646878,0.6935312
97-85-8,0.70887387,0.29112616
68171-33-5,0.9315004,0.06849963
132299-20-8,0.71033794,0.28966206
100-18-5,0.5694071,0.43059292
38640-62-9,0.62613523,0.37386474
28178-42-9,0.63498044,0.36501956
94133-79-6,0.7551945,0.24480553
565-80-0,0.56559527,0.43440476
50847-11-5,0.2841069,0.7158931
97-72-3,0.65645885,0.34354118
3437-84-1,0.6686016,0.33139843
108-18-9,0.3323627,0.6676373
2986-17-6,0.23594207,0.76405793
139-40-2,0.37108153,0.62891847
38588-65-7,0.3524539,0.6475461
96-80-0,0.70549345,0.29450652
66660-95-5,0.2868151,0.7131849
4261-68-1,0.11860049,0.8813995
2303-16-4,0.3788135,0.6211865
601-77-4,0.19712979,0.8028702
108-20-3,0.5524131,0.44758692
7491-02-3,0.90966594,0.090334035
924-88-9,0.7462895,0.2537105
7283-70-7,0.67389774,0.32610226
10552-74-6,0.56324446,0.43675554
50512-35-1,0.61055934,0.38944066
59937-28-9,0.66181827,0.3381817
105-64-6,0.610625,0.38937497
1809-20-7,0.6333403,0.3666597
26087-47-8,0.16904068,0.8309593
51356-07-1,0.091643274,0.9083567
51356-16-2,0.14354038,0.8564596
10141-19-2,0.74513173,0.25486827
3726-36-1,0.43444407,0.56555593
67786-25-8,0.9861866,0.013813347
371756-75-1,0.97846675,0.02153324
128446-33-3,0.7164174,0.28358263
1397-89-3,0.8719734,0.12802657
3773-49-7,0.16064799,0.839352
108-62-3,0.44730937,0.5526906
68857-95-4,0.69928783,0.30071217
104987-11-3,0.1494224,0.8505776
51596-10-2,0.6736685,0.3263315
10176-39-3,0.27387863,0.72612137
42588-37-4,0.77292037,0.22707964
20780-49-8,0.8349511,0.16504888
108-84-9,0.7147901,0.28520992
67306-03-0,0.6883453,0.31165466
30685-43-9,0.12654042,0.8734596
58327-21-2,0.8410804,0.15891956
58327-19-8,0.8677984,0.13220163
516-95-0,0.7296754,0.2703246
65242-49-1,0.65327615,0.34672385
57-88-5,0.55092466,0.4490753
15662-33-6,0.54275477,0.45724523
20562-02-1,0.75164133,0.24835867
71-63-6,0.14055085,0.85944915
20830-75-5,0.096842706,0.9031573
1404-93-9,0.85689914,0.14310089
41294-56-8,0.20267916,0.79732084
57333-96-7,0.21391064,0.78608936
17578-43-7,0.41757363,0.58242637
18470-09-2,0.26950985,0.73049015
29886-96-2,0.21656722,0.7834328
87239-81-4,0.85241467,0.14758532
550-53-8,0.34476572,0.6552343
56717-11-4,0.5443685,0.4556315
106-21-8,0.77563715,0.22436282
203448-76-4,0.3598892,0.6401108
543-82-8,0.40847898,0.591521
3081-01-4,0.5574912,0.44250882
7535-34-4,0.377492,0.622508
108-11-2,0.63777614,0.3622239
23436-19-3,0.7299327,0.27006727
99-82-1,0.56924886,0.43075114
87061-04-9,0.8694075,0.13059251
26171-78-8,0.8358507,0.1641493
147126-62-3,0.68330234,0.31669766
89-80-5,0.66477597,0.33522403
66941-88-6,0.086691976,0.913308
103-95-7,0.64117587,0.35882413
57144-56-6,0.1407004,0.8592996
64059-37-6,0.57273877,0.4272612
860035-10-5,0.7522657,0.24773432
55636-92-5,0.21408546,0.78591454
42978-66-5,0.6226245,0.3773755
123-63-7,0.42016506,0.57983494
50765-83-8,0.12127221,0.8787278
50765-86-1,0.39067507,0.60932493
50765-79-2,0.070803165,0.92919683
21259-20-1,0.8547353,0.14526467
68133-73-3,0.94454366,0.05545633
40580-61-8,0.863709,0.13629101
20724-12-3,0.7136891,0.2863109
30129-27-2,0.6499345,0.35006553
78-35-3,0.8652195,0.13478053
964-52-3,0.23896801,0.761032
121489-04-1,0.23041642,0.7695836
30562-34-6,0.45859587,0.5414041
66085-59-4,0.764516,0.23548397
78194-09-9,0.23942268,0.7605773
24353-58-0,0.4421724,0.5578276
73080-51-0,0.8212645,0.17873552
489-84-9,0.67844594,0.32155406
6223-35-4,0.90917814,0.09082184
17493-73-1,0.3268596,0.6731404
92671-67-5,0.6030844,0.3969156
113139-67-6,0.6058155,0.39418453
121625-72-7,0.39582258,0.6041774
67801-20-1,0.6970628,0.3029372
56105-46-5,0.76496315,0.23503685
63982-52-5,0.19045043,0.80954957
18659-45-5,0.087421596,0.9125784
2752-71-8,0.14013183,0.85986817
119-38-0,0.1840744,0.8159256
72542-61-1,0.09461707,0.90538293
78194-24-8,0.2774521,0.7225479
78194-42-0,0.2699086,0.7300914
15037-62-4,0.19401127,0.8059887
94739-29-4,0.4557854,0.5442146
75530-68-6,0.66514504,0.334855
97-86-9,0.8251116,0.1748884
13749-61-6,0.5216346,0.4783654
23684-11-9,0.6566684,0.34333158
110-12-3,0.7572987,0.24270132
3572-41-6,0.2851128,0.7148872
70318-55-7,0.795947,0.204053
70318-56-8,0.31374133,0.6862587
26544-20-7,0.49539548,0.5046045
13706-86-0,0.6329908,0.36700922
81250-17-1,0.3301093,0.6698907
123-92-2,0.8345298,0.1654702
110-19-0,0.7860564,0.21394363
99-86-5,0.7257082,0.2742918
542-08-5,0.76422024,0.23577973
99-87-6,0.57815605,0.42184395
535-77-3,0.6270393,0.3729607
89-83-8,0.6797468,0.3202532
56211-40-6,0.79329354,0.20670648
22760-18-5,0.64324665,0.35675332
40507-23-1,0.36080152,0.6391985
65765-07-3,0.42764813,0.5723519
499-75-2,0.63612205,0.36387795
2814-20-2,0.7405307,0.2594693
80176-21-2,0.4554451,0.5445549
55814-41-0,0.73797536,0.26202467
125055-52-9,0.1949572,0.8050428
563-80-4,0.60332155,0.39667842
59230-57-8,0.811406,0.18859397
39543-79-8,0.45190412,0.5480959
314-42-1,0.28537726,0.71462274
123524-52-7,0.52861667,0.4713833
6673-35-4,0.5268221,0.4731779
19234-20-9,0.78529465,0.21470533
108-21-4,0.629055,0.370945
4212-94-6,0.7527039,0.24729612
12650-69-0,0.88605887,0.11394111
828-00-2,0.67683923,0.32316074
1445870-18-7,0.33911842,0.6608816
68425-16-1,0.63353,0.36647
1222-05-5,0.3126638,0.6873362
57052-04-7,0.4761669,0.5238331
540-84-1,0.72381365,0.27618638
67239-26-3,0.57165563,0.42834434
40915-86-4,0.70369464,0.29630536
35256-85-0,0.4746467,0.5253533
19666-30-9,0.543131,0.45686898
129909-90-6,0.6559056,0.34409437
76-50-6,0.71780384,0.2821962
71108-05-9,0.0607332,0.9392668
71108-06-0,0.079105735,0.92089427
111038-42-7,0.40808678,0.5919132
127-25-3,0.5316777,0.4683223
13254-34-7,0.8400467,0.15995328
144-19-4,0.58428353,0.41571647
3445-42-9,0.6357099,0.36429015
14860-89-0,0.56248724,0.43751273
26762-93-6,0.51011336,0.48988664
49562-28-9,0.74360114,0.25639886
51368-55-9,0.6598184,0.34018156
58327-13-2,0.86125535,0.13874467
58327-14-3,0.7319488,0.2680512
58327-12-1,0.85896176,0.14103825
666-84-2,0.75133586,0.24866414
53471-69-5,0.74213713,0.25786287
53003-82-0,0.77948606,0.22051392
53003-62-6,0.78425765,0.21574235
86408-72-2,0.9115725,0.08842747
512-04-9,0.34727007,0.6527299
36011-19-5,0.71641695,0.28358307
33160-78-0,0.11408067,0.88591933
154619-51-9,0.118097484,0.8819025
114311-32-9,0.80763274,0.19236727
69915-63-5,0.7008982,0.29910186
69915-62-4,0.80968124,0.19031875
581-12-4,0.40218866,0.59781134
470-67-7,0.42831558,0.5716844
512-85-6,0.44720912,0.5527909
63968-64-9,0.72604156,0.27395844
13613-99-5,0.141541,0.858459
3035-45-8,0.45941412,0.5405859
1014-69-3,0.33654827,0.66345173
64-00-6,0.09163523,0.9083648
2752-81-0,0.08858532,0.9114147
2631-40-5,0.14972591,0.8502741
114-26-1,0.105083525,0.8949165
366-70-1,0.52995205,0.47004798
54266-83-0,0.39297897,0.60702103
106293-84-9,0.41859555,0.58140445
73115-70-5,0.07753694,0.92246306
2315-43-7,0.16754347,0.8324565
1505-95-9,0.07692057,0.92307943
996-35-0,0.16314721,0.8368528
3938-45-2,0.16137165,0.83862835
116666-63-8,0.3244394,0.6755606
24730-10-7,0.24124175,0.75875825
14759-05-8,0.090231895,0.9097681
54270-10-9,0.4126209,0.5873791
18952-79-9,0.17347914,0.82652086
26328-00-7,0.4811688,0.5188312
69788-41-6,0.29199594,0.70800406
97887-77-9,0.77113366,0.22886637
6659-45-6,0.16776597,0.832234
22343-07-3,0.08193314,0.91806686
64249-01-0,0.043844998,0.956155
14211-01-9,0.21318895,0.78681105
36614-38-7,0.033252537,0.96674746
19645-42-2,0.04723704,0.95276296
79985-91-4,0.08576411,0.9142359
97699-69-9,0.18441528,0.8155847
30560-28-2,0.07524043,0.92475957
71617-10-2,0.93187773,0.06812229
3567-08-6,0.55540776,0.44459227
17959-11-4,0.5733557,0.42664436
404-86-4,0.5009074,0.49909255
145071-49-4,0.48183352,0.5181665
111038-37-0,0.23819494,0.76180506
72739-69-6,0.6225711,0.3774289
23485-79-2,0.06347048,0.9365295
149877-41-8,0.53325295,0.46674708
24353-61-5,0.47075373,0.5292463
13955-12-9,0.1142019,0.8857981
15863-65-7,0.09590924,0.90409076
14358-50-0,0.54197323,0.45802677
24017-18-3,0.054263294,0.9457367
6838-93-3,0.52670586,0.47329417
107-44-8,0.28288752,0.7171125
71048-99-2,0.4680404,0.5319596
97886-45-8,0.5133598,0.4866402
959-24-0,0.5147642,0.48523584
27458-93-1,0.91692793,0.08307208
30399-84-9,0.9091263,0.090873726
68784-12-3,0.59911114,0.40088886
68526-86-3,0.90794986,0.09205013
72162-46-0,0.5776278,0.42237222
64354-92-3,0.9064477,0.09355231
1330-61-6,0.78139174,0.21860823
26544-23-0,0.5917495,0.4082505
27013-89-4,0.7682991,0.23170093
71902-23-3,0.84120834,0.15879168
25168-26-7,0.3530087,0.6469913
25103-09-7,0.76267713,0.23732288
29590-42-9,0.72449756,0.27550244
11071-47-9,0.6609289,0.3390711
830322-14-0,0.61365175,0.38634825
646-07-1,0.76305354,0.23694643
41764-14-1,0.42761278,0.5723872
56011-02-0,0.7801721,0.2198279
110-45-2,0.7460246,0.25397542
7779-65-9,0.9435435,0.05645652
94-46-2,0.84537244,0.15462755
87-20-7,0.74853015,0.25146982
928-70-1,0.3249688,0.6750312
590-86-3,0.5554068,0.44459316
1553-60-2,0.4889515,0.5110485
91040-96-9,0.7180507,0.2819493
72221-66-0,0.44303632,0.5569637
93-19-6,0.44773853,0.5522615
503-74-2,0.64000636,0.35999364
140-26-1,0.7435353,0.25646475
2835-39-4,0.27635968,0.7236403
103-38-8,0.7157381,0.28426188
78-81-9,0.33452195,0.66547805
33207-44-2,0.3471933,0.6528067
371-44-8,0.41318744,0.58681256
52102-44-0,0.65542674,0.34457326
30979-48-7,0.6740789,0.32592112
13887-57-5,0.3160538,0.6839462
78-83-1,0.6996703,0.30032972
4439-24-1,0.7880674,0.21193261
51550-64-2,0.32526344,0.67473656
105-01-1,0.6458975,0.35410246
102-13-6,0.80241597,0.19758402
1713-15-1,0.33695,0.66305
106-63-8,0.58098894,0.41901106
120-50-3,0.6956131,0.3043869
87-19-4,0.78681993,0.21318007
86553-26-6,0.73764265,0.26235738
27442-58-6,0.35756755,0.64243245
18169-57-8,0.31237632,0.6876237
513-44-0,0.29080725,0.70919275
696-29-7,0.55189633,0.4481037
4621-04-9,0.5889728,0.4110272
34131-99-2,0.6709173,0.32908273
528-92-7,0.3909855,0.6090145
70124-77-5,0.31372213,0.68627787
66827-38-1,0.31556094,0.68443906
14845-08-0,0.4512527,0.5487473
72-18-4,0.57342863,0.42657137
16652-76-9,0.7106496,0.28935042
7407-66-1,0.30020165,0.69979835
496-67-3,0.42198175,0.57801825
