CASRN,SMILES,logLD50_mmolkg,verytoxic,toxic,EPA_category,GHS_category
83435-67-0,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1,1.2613125184300016,,0.0,4.0,5.0
82586-55-8,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,0.9071325598831023,,0.0,3.0,5.0
87333-19-5,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,,,0.0,4.0,5.0
16118-49-3,CCNC(=O)C(C)OC(=O)Nc1ccccc1,1.6679822657386072,,0.0,4.0,5.0
16378-22-6,CCN1CCC(=C2c3ccccc3CCc3ccccc32)C1C,0.2960655397491086,,1.0,3.0,4.0
22212-55-1,CCOC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(Cl)c(Cl)c1,0.6265611795882915,,1.0,3.0,4.0
97-64-3,CCOC(=O)C(C)O,1.8414462956596165,,0.0,4.0,5.0
87237-48-7,CCOCCOC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,0.07703020078360341,,1.0,3.0,4.0
66441-23-4,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,0.8139138276617527,,0.0,3.0,5.0
66441-11-0,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3s2)cc1,0.38028900989112707,,1.0,3.0,4.0
2556-10-7,CCOC(C)OCCc1ccccc1,,,0.0,4.0,5.0
51-14-9,CCOCCOCCOC(C)Oc1ccc2c(c1)OCO2,0.826542881820583,,0.0,3.0,5.0
145040-37-5,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,,0.0,3.0,5.0
54350-48-0,CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,,,0.0,3.0,5.0
50765-78-1,CCC(C#N)(CCN(CC=C(C)C)CC=C(C)C)c1cccc2ccccc12,,,1.0,3.0,4.0
50765-95-2,CCC(CCN(CC=C(C)C)CC=C(C)C)(C(N)=O)c1cccc2ccccc12,-0.14214947888961887,,1.0,2.0,3.0
461432-25-7,CCOc1ccc(Cc2cc(C3OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C3OC(C)=O)ccc2Cl)cc1,,,0.0,3.0,5.0
54406-48-3,C#C[C@H](OC(=O)[C@@H]1[C@@H](C=C(C)C)C1(C)C)C(C)=CCC,0.78691884391394,,1.0,3.0,4.0
79-81-2,CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,1.178121423277059,,0.0,4.0,5.0
53839-71-7,CCOC(=O)c1ccc(NC(=O)C=C(C)C=CC=C(C)C=CC2=C(C)CCCC2(C)C)cc1,,,0.0,4.0,5.0
106-29-6,CCCC(=O)OCC=C(C)CCC=C(C)C,1.6768427457166521,,0.0,4.0,5.0
61750-69-4,CCc1ccc(OCC=C(C)CCC=C(C)C)cn1,0.48913173499096274,,1.0,3.0,4.0
40267-72-9,CCOCC=C(C)CCC=C(C)C,,,0.0,4.0,5.0
3290-92-4,C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C,,,0.0,3.0,5.0
53083-27-5,CCCCCCCCCCCC(=O)OC1=C(c2c(C)cc(C)cc2C)C(=O)c2ccccc21,1.327774741766818,,0.0,4.0,5.0
19089-24-8,CCCCN1CCCC1C(=O)Nc1c(C)cc(C)cc1C,1.6847752354993937,,0.0,4.0,5.0
70381-67-8,CCc1c(C)nc2cc(C)cc(C)n2c1=O,0.8410668661479161,,1.0,3.0,4.0
17689-77-9,CC[Si](OC(C)=O)(OC(C)=O)OC(C)=O,0.7946176404285148,,1.0,3.0,4.0
145650-60-8,CCOP(Oc1c(C)cc(C(C)(C)C)cc1C(C)(C)C)Oc1c(C)cc(C(C)(C)C)cc1C(C)(C)C,,,0.0,3.0,5.0
97-41-6,C=C(CCC)[C@H]1[C@@H](C=C(C)C)C1(C)C,1.1308901887602196,,0.0,3.0,5.0
84012-64-6,C=C(C)[C@@H]1CCC(C)=C1CC(C)(C)COC(=O)CC,,,0.0,4.0,5.0
144-39-8,C=C[C@@](C)(CCC=C(C)C)OC(=O)CC,,,0.0,4.0,5.0
61931-80-4,C=C[C@@](C)(CCC=C(C)CC)OC(C)=O,,,0.0,4.0,5.0
64748-21-6,CCS(=O)(=O)Nc1c(C)cc(OC(=O)NC)cc1C,0.43519286529658613,,1.0,3.0,4.0
82163-55-1,CCOC(=O)c1c(C)cc2nc(COC(=O)NC)n(-c3ccccc3Cl)c(=O)c2c1C,0.7506675825269093,,0.0,3.0,5.0
50765-88-3,CCN(C)CCC(CC=C(C)C)(C(N)=O)c1cccc2ccccc12,-0.6782939092697478,,1.0,2.0,3.0
90729-41-2,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc2c1OCO2,0.48584119772484585,,1.0,3.0,4.0
57846-36-3,CCOC(=O)C(C(C)=O)C(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,-0.42898680467956857,,1.0,2.0,3.0
39562-70-4,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,1.629930058302982,,0.0,4.0,5.0
638-10-8,CCOC(=O)C=C(C)C,1.9566682164987963,,0.0,4.0,5.0
106700-29-2,CCOCCN(C(=O)CCl)C(=C(C)C)c1ccccc1,0.5215406663882649,,1.0,3.0,4.0
61792-11-8,CCC(C)=CCCC(C)=CC#N,1.2020829153771408,,0.0,3.0,5.0
24199-46-0,CCC(C)=CCCC(C)=O,1.4058396703157638,,0.0,3.0,5.0
70381-28-1,CCCCc1c(C)nc2cccc(C)n2c1=O,0.6790780041405199,,1.0,3.0,4.0
132031-81-3,CCCCCCCCOC(=O)C1=C(C)N=C(C)C(C(=O)NC2CC2)C1c1ccccc1[N+](=O)[O-],-0.9727414368624436,,1.0,1.0,2.0
80310-21-0,CCc1c(C)nc2c(C)cccn2c1=O,0.6079102911537192,,1.0,3.0,4.0
56611-65-5,CCOC(=O)c1c(C)cc2c(CO)n[nH]c(=O)c2c1C,0.8016697385296618,,1.0,3.0,4.0
13925-07-0,CCc1ncc(C)nc1C,0.5247941124396597,,1.0,2.0,4.0
70381-39-4,CCc1c(C)nc2cccc(C)n2c1=O,0.5329455295072578,,1.0,3.0,4.0
149543-07-7,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCCN2CCCCC2)C1c1cccc([N+](=O)[O-])c1,-0.10051010310408885,,1.0,2.0,4.0
15911-11-2,CCOC(=O)c1noc(C)c1C(C)=O,0.7051151129999699,,1.0,3.0,4.0
88-29-9,CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,0.0026724351980775304,,1.0,2.0,3.0
68480-17-1,CCC(=O)CCC1C(C)=CCCC1(C)C,,,0.0,4.0,5.0
1335-46-2,CCC(=O)C=C[C@H]1C(C)=CCCC1(C)C,,,0.0,,5.0
5957-75-5,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,0.43692061161333634,,1.0,3.0,4.0
35044-59-8,CCOC(=O)C1=C(C)C=CCC1(C)C,,,0.0,3.0,5.0
125055-60-9,CCC(C)(C)NC(=O)c1cnc2cccc(C)n2c1=O,,,1.0,2.0,3.0
88969-41-9,C=C(CC)CCCC(C)(C)OC(C)=O,,,0.0,4.0,5.0
62395-45-3,CCC(=O)OC(C)(C)C1CC=C(C)CC1,,,0.0,4.0,5.0
32766-80-6,CCc1ccc(OCC=C(C)CC[C@H]2OC2(C)C)cc1,,,0.0,3.0,5.0
3763-77-7,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,1.216799317857223,,0.0,3.0,5.0
125055-73-4,CCOC(=O)C(C)(C)NC(=O)c1cnc2cccc(C)n2c1=O,,,1.0,2.0,3.0
23674-86-4,CCCC(=O)OC1(C(=O)COC(C)=O)CCC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,,,0.0,3.0,5.0
1253-28-7,CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,,,0.0,4.0,5.0
33765-80-9,CCC1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1OC(C)=O,,,0.0,4.0,5.0
3568-56-7,CCOP(=O)(NC)Oc1ccc(SC)c(C)c1,-1.7408519820879849,,1.0,1.0,2.0
92065-18-4,CC[C@H](SC(C)=NOC(=O)NC)C(N)=O,-1.2186825952468954,,1.0,1.0,2.0
13539-59-8,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,0.7776275176307313,,1.0,3.0,4.0
2532-49-2,CCCc1nc(C)cc(OC(=O)N(C)C)n1,-0.047812047480296674,,1.0,2.0,3.0
78541-98-7,CCc1c(C)[nH]c2c1C(=O)C1CN(C)CCC1C2,-0.04913693739750756,,1.0,2.0,3.0
55242-55-2,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,0.4868872872595906,,1.0,3.0,4.0
87344-11-4,CCOC(=O)c1ccc(NC(=O)Cc2ccc(C(=O)c3ccc(C)cc3)n2C)cc1,0.6483904850462227,,1.0,3.0,4.0
1399-80-0,CCCCCCCCCCCCc1ccc(C)c(C[N+](C)(C)C)c1,0.06803257949805128,,1.0,2.0,4.0
22345-47-7,CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,0.33386792785157676,,1.0,3.0,4.0
82875-37-4,CCCNC(=O)c1sc(-c2cc(OC)c(OC)c(OC)c2)nc1C,1.2035743553440281,,0.0,4.0,5.0
6670-95-7,CCOc1ccc(Cc2nc(C)cc3cc(OC)c(OC)cc23)cc1OC,0.7505681485627602,,0.0,3.0,5.0
82875-46-5,CCCNC(=O)c1sc(-c2ccc(OC)cc2)nc1C,,,0.0,4.0,5.0
82875-43-2,CCCNC(=O)c1sc(-c2ccccc2OC)nc1C,,,0.0,4.0,5.0
33232-85-8,CCP(=O)(OC)Oc1ccc(C)cc1,0.34587211561517284,,1.0,2.0,4.0
1942-80-9,CCP(=S)(OC)Sc1ccc(Cl)c(C)c1,-0.4989792565306631,,1.0,2.0,3.0
88150-62-3,CCOC(=O)C1=C(COCCN2C(=O)c3ccccc3C2=O)N=C(C)C(C(=O)OC)C1c1ccccc1Cl,,,0.0,3.0,5.0
73698-61-0,CCc1oc2c(OC)ccc(C(=O)CCC(=O)O)c2c1C,0.8383776130906825,,0.0,3.0,5.0
134169-75-8,CCOC(=O)C1=C(COCCOCCN)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,-0.5543287952477709,,1.0,2.0,3.0
57846-37-4,CCOC(=O)C(C#N)C(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,-0.7421827147462441,,1.0,2.0,3.0
85365-53-3,CCC1(OC(C)=O)CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,0.19328201520035884,,1.0,3.0,4.0
75274-15-6,CCOC(=O)C(=O)Nc1cc(OC)nc(C)n1,,,1.0,3.0,4.0
167004-78-6,CCCCOP(C)(=O)CCC(C#N)OC(C)=O,-0.013949076709456824,,1.0,2.0,3.0
75274-19-0,CCOC(=O)C(=O)Nc1cc(SC)nc(C)n1,,,1.0,3.0,4.0
117378-04-8,CCOC(=O)c1cnn(-c2cccc(C)c2)c1S(C)(=O)=O,,,1.0,3.0,4.0
92-09-1,CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1,0.16847255139249664,,1.0,2.0,4.0
142-90-5,C=C(C)C(=O)OCCCCCCCCCCCC,,,0.0,4.0,5.0
97-88-1,C=C(C)C(=O)OCCCC,2.051226494525694,,0.0,4.0,5.0
25044-01-3,C=C(C)C(=O)CC,0.6303458436122514,,1.0,2.0,4.0
39670-09-2,C=C(C)C(=O)OCCOCCOCCOCC,,,0.0,3.0,5.0
20363-83-1,C=C(C)C(=O)OCC(=O)OCC,1.660543514007716,,0.0,4.0,5.0
97-63-2,C=C(C)C(=O)OCC,2.1128086277366975,,0.0,4.0,5.0
53153-66-5,CCCCCCC(C)=CC#N,1.0558244495630442,,1.0,3.0,4.0
1128-08-1,CCCCCC1=C(C)CCC1=O,1.1771417840697926,,0.0,3.0,5.0
112-12-9,CCCCCCCCCC(C)=O,,,0.0,4.0,5.0
821-55-6,CCCCCCCC(C)=O,1.3521221282338591,,0.0,3.0,5.0
111-13-7,CCCCCCC(C)=O,-1.1536963272579015,,1.0,1.0,2.0
110-43-0,CCCCCC(C)=O,1.1650960047825256,,1.0,3.0,4.0
591-78-6,CCCCC(C)=O,1.4126011122293352,,0.0,3.0,5.0
2052-15-5,CCCCOC(=O)CCC(C)=O,,,0.0,4.0,5.0
40942-73-2,CCCCCC1C(=O)CCC1CC(C)=O,,,0.0,4.0,5.0
591-60-6,CCCCOC(=O)CC(C)=O,1.852340147104614,,0.0,4.0,5.0
59558-23-5,CCCCCCCC(=O)Oc1ccc(C)cc1,0.8342754103402219,,1.0,3.0,4.0
2748-88-1,CCCCCCCCCCCCCC[n+]1ccc(C)cc1,-0.06522855231953742,,1.0,2.0,3.0
64-77-7,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0.9642665475688666,,0.0,3.0,5.0
63992-49-4,CCCCCCCCCc1ccc(C)cc1O,1.232133882590842,,0.0,3.0,5.0
63992-50-7,CCCCCCCCc1ccc(C)cc1O,1.2589351110614877,,0.0,3.0,5.0
63989-86-6,CCCCCCCc1ccc(C)cc1O,1.2065778103850853,,0.0,3.0,5.0
5736-70-9,CCCCc1ccc(C)cc1O,0.8258925951714725,,1.0,3.0,4.0
1610-29-3,CCC=C(C)CO,1.6912664509154436,,0.0,3.0,5.0
1147-62-2,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,0.4025773064756043,,1.0,3.0,4.0
31143-55-2,CCCc1ccc(C)cc1O,0.6865922114295595,,1.0,3.0,4.0
125055-69-8,CCCNC(=O)c1cnc2ccc(C)cn2c1=O,,,1.0,2.0,3.0
488-10-8,CCC=CCC1=C(C)CCC1=O,1.4835567645609153,,0.0,4.0,5.0
1713-12-8,CCCCOC(=O)COc1ccc(Cl)cc1C,0.5514712665691608,,1.0,3.0,4.0
125055-71-2,CCCNC(=O)c1cnc2c(C)cccn2c1=O,,,1.0,2.0,3.0
125055-59-6,CCCCCCCCNC(=O)c1cnc2cccc(C)n2c1=O,,,1.0,2.0,3.0
125055-57-4,CCCCCCNC(=O)c1cnc2cccc(C)n2c1=O,,,1.0,2.0,3.0
125055-55-2,CCCCCNC(=O)c1cnc2cccc(C)n2c1=O,,,1.0,2.0,3.0
125055-53-0,CCCCNC(=O)c1cnc2cccc(C)n2c1=O,,,1.0,2.0,3.0
125055-72-3,CCCNC(=O)Cc1cnc2cccc(C)n2c1=O,,,1.0,2.0,3.0
26485-82-5,CCC(C)=C1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.81911222067632,,0.0,3.0,5.0
70381-35-0,CCCCc1c(C)nc2ccccn2c1=O,0.7063682922504598,,1.0,3.0,4.0
98290-92-7,CCCCn1c(C)c(C(=O)NC2CCN(CCc3ccccc3)CC2)c2cc(O)ccc21,,,0.0,4.0,5.0
3848-24-6,CCCC(=O)C(C)=O,,,0.0,4.0,5.0
88107-10-2,CCCc1c(OCCCCc2nnn[nH]2)ccc(C(C)=O)c1O,0.30997167048512775,,1.0,3.0,4.0
112668-65-2,CCCc1c(OCc2cccn3c(=O)c(CCC(=O)O)cnc23)ccc(C(C)=O)c1O,0.9742303838403746,,0.0,3.0,5.0
112668-63-0,CCCc1c(OCc2cccn3c(=O)c(CC(=O)O)cnc23)ccc(C(C)=O)c1O,0.988825126312737,,0.0,3.0,5.0
108427-72-1,CCCc1c(OCc2cccn3c(=O)c(-c4nn[nH]n4)cnc23)ccc(C(C)=O)c1O,,,0.0,3.0,5.0
81250-14-8,C=CCn1c(=O)c2[nH]c(C)nc2n(CCCC)c1=O,-1.038608572662054,,1.0,1.0,2.0
168152-83-8,CCCCc1c(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c(=O)nc2nc(C)[nH]n12,,,1.0,2.0,4.0
168152-73-6,CCCc1c(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c(=O)nc2nc(C)[nH]n12,,,1.0,2.0,4.0
148504-51-2,CCCc1nc(C)n2[nH]c(=O)nc2c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,1.0,2.0,4.0
629-70-9,CCCCCCCCCCCCCCCCOC(C)=O,,,0.0,4.0,5.0
112-17-4,CCCCCCCCCCOC(C)=O,,,0.0,4.0,5.0
143-13-5,CCCCCCCCCOC(C)=O,,,0.0,4.0,5.0
112-14-1,CCCCCCCCOC(C)=O,1.240916643052907,,0.0,3.0,5.0
112-06-1,CCCCCCCOC(C)=O,,,0.0,4.0,5.0
142-92-7,CCCCCCOC(C)=O,2.4642418675483726,,0.0,4.0,5.0
628-63-7,CCCCCOC(C)=O,1.6983457373119213,,0.0,4.0,5.0
14959-86-5,CCCCC=CCCCCCCOC(C)=O,1.773276327405425,,0.0,4.0,5.0
53042-79-8,CCCCC=CCCC=CCCCCCCOC(C)=O,,,0.0,4.0,5.0
39920-56-4,CCCCC(O)CCOC(C)=O,1.6805386130719024,,0.0,4.0,5.0
123-86-4,CCCCOC(C)=O,1.9650571493515745,,0.0,4.0,5.0
112-07-2,CCCCOCCOC(C)=O,1.06946009657163,,1.0,3.0,4.0
124-17-4,CCCCOCCOCCOC(C)=O,1.5027172721504727,,0.0,4.0,5.0
2442-10-6,C=C[C@@H](CCCCC)OC(C)=O,0.6983267033153026,,1.0,3.0,4.0
18871-14-2,CCCCCC1COCCC1OC(C)=O,,,0.0,4.0,5.0
57960-19-7,CCCCCCCCCCCCC1=C(OC(C)=O)C(=O)c2ccccc2C1=O,,,0.0,4.0,5.0
539-88-8,CCOC(=O)CCC(C)=O,,,0.0,4.0,5.0
66017-91-2,CCCN(COC(C)=O)N=O,0.7954106901198484,,1.0,3.0,4.0
20706-25-6,CCCOCCOC(C)=O,1.8108016806135545,,0.0,4.0,5.0
109-60-4,CCCOC(C)=O,1.9625735020593764,,0.0,4.0,5.0
141-97-9,CCOC(=O)CC(C)=O,1.485462258392396,,0.0,3.0,5.0
122-82-7,CCOc1ccc(NC(=O)CC(C)=O)cc1,-0.09938238887349679,,1.0,2.0,3.0
623-36-9,CCC=C(C)C=O,1.6405891128306804,,0.0,3.0,5.0
102-27-2,CCNc1cccc(C)c1,0.6324191807722974,,1.0,3.0,4.0
148-69-6,CCN(CCC#N)c1cccc(C)c1,1.2945835600506557,,0.0,3.0,5.0
88881-65-6,CCN(CC(=O)OCC(F)(F)F)c1cccc(C)c1,0.8389947180898218,,1.0,3.0,4.0
24441-47-2,CCOP(=S)(CCl)Sc1ccc(C)cc1,0.07797001421426829,,1.0,2.0,4.0
98476-13-2,CCOC(=O)c1cnn(-c2cccc(C)c2)c1C#N,,,1.0,3.0,4.0
65516-17-8,CCC(O)C(c1ccccc1)N1CCN(CCOc2ccccc2C)CC1,0.2786357990423607,,1.0,3.0,4.0
104-90-5,CCc1ccc(C)nc1,0.48240611900848024,,1.0,2.0,4.0
13360-64-0,CCc1cnc(C)cn1,0.8672743807394492,,1.0,3.0,4.0
25646-77-9,CCN(CCO)c1ccc(N)c(C)c1,-0.7443555796177259,,1.0,1.0,2.0
58066-96-9,CCN(CCO)c1ccc(N=O)c(C)c1,0.2077313279922396,,1.0,2.0,4.0
30086-84-1,CCOCC(=O)Nc1ccc(C(=O)c2ccccc2)cc1C,0.8846610620052674,,0.0,3.0,5.0
10443-70-6,CCOC(=O)CCCOc1ccc(Cl)cc1C,0.7428134152183858,,1.0,3.0,4.0
25319-90-8,CCSC(=O)COc1ccc(Cl)cc1C,0.5089168120812434,,1.0,3.0,4.0
66505-62-2,CCSc1nc(N)c2c(C)coc2n1,,,0.0,4.0,5.0
21062-28-2,CCN1CCCC(Nc2cc(C)nc(/N=C(\N)Nc3ccc(Cl)c(Cl)c3)n2)C1,0.3917638352964126,,1.0,3.0,4.0
3681-71-8,CCC=CCCOC(C)=O,,,0.0,,5.0
50767-79-8,CCC=CC=CCCCCCCCCOC(C)=O,,,1.0,3.0,4.0
13402-08-9,CCC(C(=O)NC(=O)NC(C)=O)c1ccccc1,,,0.0,3.0,5.0
634-55-9,CCOC(=O)C(C#N)C(C)=O,0.5082098269240553,,1.0,2.0,4.0
1522-41-4,CCOC(=O)C(F)C(C)=O,,,1.0,2.0,3.0
609-15-4,CCOC(=O)C(Cl)C(C)=O,0.15095775311309076,,1.0,2.0,3.0
25331-92-4,CCc1c(C)[nH]c2c1C(=O)C(CN1CCC3(CC1)OCCO3)CC2,-0.14150725743350875,,1.0,2.0,3.0
15622-65-8,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,-0.02486610515583377,,1.0,2.0,3.0
15707-23-0,CCc1nccnc1C,0.6911831216837679,,1.0,3.0,4.0
70381-33-8,CCc1c(C)nc2ccccn2c1=O,0.7253111577624416,,1.0,3.0,4.0
600-14-6,CCC(=O)C(C)=O,1.47661342719704,,0.0,3.0,5.0
40054-69-1,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,1.0100728808670512,,0.0,3.0,5.0
73839-77-7,CCOc1occ2cnc(C)c(O)c12,1.0464268420573108,,0.0,3.0,5.0
74037-54-0,CCSCc1cnc(C)c(O)c1CO,1.2473464226284143,,0.0,3.0,5.0
17335-06-7,CCOC(=O)c1noc(C)c1C(=O)c1ccccc1,0.5862628081772843,,1.0,3.0,4.0
52217-47-7,CCN(N=O)C(=O)NC(C)=O,0.5385696909388601,,1.0,3.0,4.0
62-44-2,CCOc1ccc(NC(C)=O)cc1,0.9640998944807574,,1.0,3.0,4.0
73-66-5,CCOCc1cnc(C)nc1N,0.9381005607900215,,1.0,3.0,4.0
75274-18-9,CCOC(=O)C(=O)Nc1cc(OCCOCc2ccccc2)nc(C)n1,,,1.0,3.0,4.0
80086-35-7,CCN(C(=O)CCCn1nnnc1C)C1CCCCC1,,,1.0,3.0,4.0
1897-96-7,CCOc1ccc(-n2c(C)nc3ccccc3c2=O)cc1,1.233576308055207,,0.0,3.0,5.0
19387-91-8,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,1.0397873240212685,,0.0,3.0,5.0
65986-80-3,CCN(COC(C)=O)N=O,0.743698085614894,,1.0,3.0,4.0
15862-11-0,CCOc1ccc(N(N=O)C(C)=O)cc1,-0.9962968901177797,,1.0,1.0,2.0
111-15-9,CCOCCOC(C)=O,1.3102670203216404,,0.0,3.0,5.0
63843-89-0,CCCCC(Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C(=O)OC1CC(C)(C)N(C)C(C)(C)C1)C(=O)OC1CC(C)(C)N(C)C(C)(C)C1,0.3374658996345619,,1.0,3.0,4.0
2082-79-3,CCCCCCCCCCCCCCCCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,,,0.0,4.0,5.0
125643-61-0,CCCCCCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,,,0.0,3.0,5.0
5560-69-0,CCOS(=O)(=O)c1cc(C(C)(C)C)cc2cc(C(C)(C)C)ccc12,,,0.0,4.0,5.0
101238-01-1,CCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1,,,0.0,3.0,5.0
36306-87-3,C=C(OCC)C1C(C)(C)CC(=O)CC1(C)C,,,0.0,4.0,5.0
58243-85-9,CCc1cc2c(cc1C=O)C(C)(C)CCC2(C)C,1.1170878721203281,,0.0,3.0,5.0
51022-71-0,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,,,1.0,3.0,4.0
112143-82-5,CCOC(=O)CSc1nc(C(C)(C)C)nn1C(=O)N(C)C,,,1.0,2.0,3.0
2984-66-9,CCP(=S)(OC)Sc1ccc(C(C)(C)C)cc1,-0.204749855856473,,1.0,2.0,3.0
886-50-0,CCNc1nc(NC(C)(C)C)nc(SC)n1,0.9280208177802864,,0.0,3.0,5.0
78168-93-1,CCSc1nc(=O)n(CC(C)(C)C)c(=O)n1N,1.131864621592305,,0.0,3.0,5.0
17751-75-6,CCCCCCCCOC(C[n+]1ccccc1)c1ccc(C(C)(C)C)cc1,-0.16859764844600755,,1.0,2.0,3.0
21270-06-4,CCCCCCCCOC(CBr)c1ccc(C(C)(C)C)cc1,-0.16954159838342592,,1.0,2.0,3.0
51308-54-4,CCCCSC(=Nc1cccnc1)SCc1ccc(C(C)(C)C)cc1,0.8601174168778813,,0.0,3.0,5.0
5434-57-1,CCCCCCOC(=O)C(C)(C)C,,,0.0,4.0,5.0
66227-09-6,CCCOC(=O)COc1cccc(C(C)(C)C)c1,0.8567457268586468,,1.0,3.0,4.0
80763-10-6,CCC(O)OC(C)(C)C,1.2810200720201659,,0.0,3.0,5.0
153233-91-1,CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,1.0752371112848078,,0.0,3.0,5.0
64529-56-2,CCSc1nnc(C(C)(C)C)c(=O)n1N,0.418880964492203,,1.0,3.0,4.0
59652-29-8,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,0.4578138336459334,,1.0,3.0,4.0
3398-69-4,CCN(N=O)C(C)(C)C,1.0895390198172614,,1.0,3.0,4.0
637-92-3,CCOC(C)(C)C,,,0.0,3.0,5.0
4492-96-0,CCC(C)(C)c1ccc(OP(=O)(NC)OC)c(Cl)c1,,,1.0,2.0,3.0
15942-48-0,CCC(C)(C)c1ccc(Cl)c(OC(=O)NC)c1,-0.5327458883037927,,1.0,2.0,3.0
65907-30-4,CCCCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,-0.8583351320205691,,1.0,2.0,3.0
50673-09-1,CCCCCCCCCCCCSN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,,,1.0,2.0,3.0
116337-75-8,CCCC(=O)c1ccc2c(c1)OC(C)(C)C(=O)N2C,,,0.0,3.0,5.0
33213-82-0,CCOC(C1=NCC(C)(C)CN1)c1ccc(OC)cc1,0.3543734048499605,,1.0,3.0,4.0
33210-47-8,CCOC(C1=NCC(C)(C)CN1)c1ccc(OC)c(F)c1,0.036256430461290796,,1.0,2.0,4.0
55634-91-8,C=CCONC(CCC)=C1C(=O)CC(C)(C)[C@H](C(=O)OC)C1=O,0.8443831957494006,,0.0,3.0,5.0
994-05-8,CCC(C)(C)OC,1.1953093644547477,,1.0,3.0,4.0
16870-37-4,CCC(C)(C)OC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,,,0.0,4.0,5.0
26225-79-6,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,0.5961827726928467,,1.0,3.0,4.0
2370-13-0,CCCCC(C)(C)CO,1.2277083054499416,,0.0,3.0,5.0
33236-02-1,CCOC(C1=NCC(C)(C)CN1)c1ccccc1,0.5504484348025993,,1.0,3.0,4.0
33236-09-8,CCOC(C1=NCC(C)(C)CN1)c1cccc(F)c1,0.45289180602323353,,1.0,3.0,4.0
33210-42-3,CCOC(C1=NCC(C)(C)CN1)c1cccc(Cl)c1,-0.47067195153339564,,1.0,2.0,3.0
33236-10-1,CCOC(C1=NCC(C)(C)CN1)c1cccc2ccccc12,-0.7315360225632442,,1.0,2.0,3.0
